id,item_id,name
1,1,"Above Pocket LHS"
2,1,"Above Pocket RHS"
3,1,"Below Pocket LHS"
4,1,"Below Pocket RHS"
5,1,"Collar Bed LHS"
6,1,"Collar Bed RHS"
7,1,"Collar Bed Back"
8,1,"Cuff LHS"
9,1,"Cuff RHS"
10,1,"Downside LHS"
11,1,"Downside RHS"
12,1,"Opposite Pocket LHS"
13,1,"Opposite Pocket RHS"
14,1,"Outer Collar LHS"
15,1,"Outer Collar RHS"
16,1,"Outer Collar Back"
17,2,Waistband
18,2,"Near Pocket LHS"
19,2,"Near Pocket RHS"
20,3,"Above Hem LHS"
21,3,"Above Hem RHS"
22,3,"Breast LHS"
23,3,"Breast RHS"
24,3,"Below Collar"
25,4,"Along Zip"
26,4,Waistband
27,5,Top
28,6,"Bottom LHS"
29,6,"Bottom RHS"
30,6,"Chest LHS"
31,6,"Chest RHS"
32,6,"Collar Bed"
33,6,"Outer Collar Back"
34,6,"Ribbon Back"
35,7,"Above Hem LHS"
36,7,"Above Hem RHS"
37,7,"Above Logo"
38,7,"Below Logo"
39,7,"Chest LHS"
40,7,"Chest RHS"
41,7,"Inner Collar"
42,7,"Inside Yoke"
43,7,"Near Pocket LHS"
44,7,"Near Pocket RHS"
45,7,"Outer Collar"
46,8,"Above Logo"
47,8,"Below Logo"
48,8,"Bottom LHS"
49,8,"Bottom RHS"
50,8,"Chest LHS"
51,8,"Chest RHS"
52,9,"Above Top Pocket"
53,9,"Below Bottom Pocket LHS"
54,9,"Below Bottom Pocket RHS"
55,9,"Below Flap LHS"
56,9,"Below Flap RHS"
57,9,"On Flap LHS"
58,9,"On Flap RHS"
59,10,Handkerchief
60,12,"Hem LHS"
61,12,"Hem RHS"
62,12,"Near Pocket LHS"
63,12,"Near Pocket RHS"
64,12,Waistband
65,13,"Above Logo"
66,13,"Below Logo"
67,13,"Hip LHS"
68,13,"Hip RHS"
69,13,"Near Pocket LHS"
70,13,"Near Pocket RHS"
71,13,"Opposite Logo"
72,13,"Outer Collar"
73,13,"Inner Collar"
74,15,Front
75,15,Back
76,17,"Chest LHS"
77,17,"Chest RHS"
78,17,"Hem LHS"
79,17,"Hem RHS"
80,17,"Hip LHS"
81,17,"Hip RHS"
82,17,"Back Below Neck"
83,18,Top
84,19,"On Fold"
85,19,"Under Fold"
86,20,Center
87,20,"Top LHS"
88,20,"Top Middle"
89,20,"Top RHS"
90,21,Center
91,21,"Top LHS"
92,21,"Top Middle"
93,21,"Top RHS"
94,22,Center
95,22,"Top LHS"
96,22,"Top Middle"
97,22,"Top RHS"
98,23,Center
99,23,"Top LHS"
100,23,"Top Middle"
101,23,"Top RHS"
102,24,Center
103,24,"Top LHS"
104,24,"Top Middle"
105,24,"Top RHS"
106,25,"Under Palm"
107,26,"White Patch"
108,27,"Above Pocket"
109,27,"Inner Collar"
110,28,"Near Hem LHS"
111,29,Back
112,30,"On Breast"
113,30,"On Hem"
114,30,"On Skirt"
115,31,Center
116,31,"Top LHS"
117,31,"Top Middle"
118,31,"Top RHS"
119,33,"Below Waistband"
120,35,"Chest Centre"
121,34,Special
